time,open,high,low,close,volume
2021-09-02 13:20:00,592.3,593.26,592.0,592.0,37649
2021-09-02 13:25:00,592.045,592.14,591.1,591.24,50896
2021-09-02 13:30:00,591.32,592.4053,591.275,592.0899,23939
2021-09-02 13:35:00,591.96,592.02,591.5,591.915,15546
2021-09-02 13:40:00,591.915,592.32,591.5,591.5,32027
2021-09-02 13:45:00,591.465,591.6724,589.24,589.43,123896
2021-09-02 13:50:00,589.545,590.2,589.0301,589.53,52094
2021-09-02 13:55:00,589.4372,590.53,589.4372,590.3,43659
2021-09-02 14:00:00,590.0569,590.24,589.59,589.785,26147
2021-09-02 14:05:00,589.76,590.4877,589.75,589.7506,30372
2021-09-02 14:10:00,589.88,590.23,587.72,588.5499,86428
2021-09-02 14:15:00,588.44,589.07,587.32,588.9999,67098
2021-09-02 14:20:00,589.0,589.5,588.61,589.5,32465
2021-09-02 14:25:00,589.4999,589.55,588.71,588.97,16339
2021-09-02 14:30:00,588.89,589.17,587.91,588.15,33614
2021-09-02 14:35:00,588.145,588.79,588.1,588.31,22898
2021-09-02 14:40:00,588.3601,588.3601,587.36,588.0925,28810
2021-09-02 14:45:00,588.15,588.4,587.9,588.005,14723
2021-09-02 14:50:00,587.9001,588.67,587.9001,588.2075,33758
2021-09-02 14:55:00,588.205,588.53,588.03,588.09,18355
2021-09-02 15:00:00,587.98,588.14,587.52,587.9978,24381
2021-09-02 15:05:00,587.99,588.06,587.26,587.54,27022
2021-09-02 15:10:00,587.63,587.69,587.22,587.495,17706
2021-09-02 15:15:00,587.44,588.475,587.3,588.475,36025
2021-09-02 15:20:00,588.38,590.49,588.33,590.3743,94479
2021-09-02 15:25:00,590.51,590.6599,589.341,589.7,49161
2021-09-02 15:30:00,589.7,589.95,589.06,589.22,37047
2021-09-02 15:35:00,589.39,590.26,589.39,589.59,68692
2021-09-02 15:40:00,589.445,589.819,588.52,588.99,44487
2021-09-02 15:45:00,589.02,589.355,588.64,588.93,44289
2021-09-02 15:50:00,589.05,589.18,588.42,588.6,60563
2021-09-02 15:55:00,588.76,588.79,587.68,587.925,119670
2021-09-02 16:00:00,588.015,588.98,588.01,588.56,155864
2021-09-02 16:05:00,588.55,590.0,588.55,588.55,45658
2021-09-02 16:10:00,588.55,588.84,588.55,588.55,3746
2021-09-02 16:15:00,588.55,588.74,588.55,588.55,1838
2021-09-02 16:20:00,588.74,588.74,588.74,588.74,139
2021-09-02 16:25:00,588.6,588.6,588.55,588.55,912
2021-09-02 16:30:00,588.02,588.02,588.02,588.02,104
2021-09-02 16:35:00,588.03,588.03,588.03,588.03,257
2021-09-02 16:40:00,588.0,588.55,588.0,588.0,52457
2021-09-02 16:45:00,588.01,588.01,587.6,587.6,752
2021-09-02 17:00:00,587.8,587.8,587.8,587.8,511
2021-09-02 17:05:00,587.26,587.26,587.26,587.26,317
2021-09-02 17:25:00,587.5,587.5,587.5,587.5,677
2021-09-02 17:30:00,587.55,587.55,587.5,587.5,480
2021-09-02 18:25:00,587.5,587.5,587.5,587.5,350
2021-09-02 18:35:00,587.98,588.0,587.98,588.0,407
2021-09-03 05:05:00,588.55,588.55,588.55,588.55,443
2021-09-03 07:05:00,588.56,588.56,588.56,588.56,639
2021-09-03 07:55:00,589.0,589.0,589.0,589.0,232
2021-09-03 08:00:00,590.48,590.48,590.48,590.48,165
2021-09-03 08:05:00,589.0,590.6,587.0790000000001,590.6,1729
2021-09-03 08:10:00,590.4001,590.4001,590.25,590.25,624
2021-09-03 08:15:00,590.25,590.25,590.25,590.25,181
2021-09-03 08:20:00,590.35,590.35,590.0,590.0,611
2021-09-03 08:25:00,589.23,589.23,589.23,589.23,994
2021-09-03 08:40:00,590.48,590.48,590.0,590.0,2861
2021-09-03 08:45:00,587.1,587.33,587.1,587.2,2411
2021-09-03 08:50:00,588.55,588.55,588.55,588.55,442
2021-09-03 09:00:00,588.38,588.38,588.38,588.38,543
2021-09-03 09:05:00,587.6,587.6,587.6,587.6,860
2021-09-03 09:10:00,588.5,588.5,588.5,588.5,402
2021-09-03 09:15:00,588.5,588.5,588.5,588.5,459
2021-09-03 09:20:00,587.9,587.9,587.9,587.9,305
2021-09-03 09:25:00,587.25,587.5,587.01,587.5,1744
2021-09-03 09:30:00,587.12,587.12,587.01,587.01,1645
2021-09-03 09:35:00,585.8,591.6851,585.02,588.19,154840
2021-09-03 09:40:00,588.18,588.64,585.27,587.74,95415
2021-09-03 09:45:00,587.82,589.07,586.1,588.3,70709
2021-09-03 09:50:00,588.28,589.02,586.83,587.22,50749
2021-09-03 09:55:00,587.33,587.64,585.0259,586.51,62617
2021-09-03 10:00:00,586.66,588.86,586.66,588.835,85490
2021-09-03 10:05:00,588.99,591.21,588.99,591.015,75786
2021-09-03 10:10:00,590.96,590.96,589.36,589.705,44409
2021-09-03 10:15:00,589.54,589.73,586.91,587.43,57608
2021-09-03 10:20:00,587.31,587.47,584.38,584.625,62268
2021-09-03 10:25:00,584.62,586.4699,584.57,585.45,39299
2021-09-03 10:30:00,585.27,587.13,585.1596,587.09,29762
2021-09-03 10:35:00,586.93,586.98,586.1657,586.275,24205
2021-09-03 10:40:00,586.28,586.4,583.4,583.5,70116
2021-09-03 10:45:00,583.34,584.775,583.14,584.6519,34999
2021-09-03 10:50:00,584.42,585.595,583.9728,584.705,39504
2021-09-03 10:55:00,584.6,584.74,583.54,584.37,39415
2021-09-03 11:00:00,584.26,584.99,584.11,584.64,24372
2021-09-03 11:05:00,584.45,584.46,583.44,584.21,32191
2021-09-03 11:10:00,584.1807,584.82,584.11,584.82,24250
2021-09-03 11:15:00,584.885,585.64,584.51,585.17,28424
2021-09-03 11:20:00,585.05,586.44,584.8,586.18,41509
2021-09-03 11:25:00,586.0301,586.87,586.0301,586.66,24610
2021-09-03 11:30:00,586.6841,587.7969,586.1,587.44,27761
2021-09-03 11:35:00,587.25,588.0,587.0918,587.27,23980
2021-09-03 11:40:00,587.37,587.75,586.91,587.3534,18105
2021-09-03 11:45:00,587.45,587.45,586.82,587.29,10521
2021-09-03 11:50:00,587.14,587.8,587.06,587.74,14137
2021-09-03 11:55:00,587.885,588.2699,587.29,588.02,21608
2021-09-03 12:00:00,587.96,588.28,587.2501,587.33,12810
2021-09-03 12:05:00,587.23,587.67,586.58,587.67,17688
2021-09-03 12:10:00,587.5,588.553,587.345,588.46,13762
2021-09-03 12:15:00,588.48,590.31,588.43,590.31,39347
2021-09-03 12:20:00,590.3899,590.3899,589.24,589.33,30605
2021-09-03 12:25:00,589.56,590.21,589.12,589.98,19233
2021-09-03 12:30:00,589.9,590.73,589.82,590.41,26263
2021-09-03 12:35:00,590.47,590.47,589.91,590.0605,13309
2021-09-03 12:40:00,589.82,589.89,589.4,589.4,29192
2021-09-03 12:45:00,589.3001,590.0,589.3001,590.0,20741
2021-09-03 12:50:00,589.9634,590.476,589.6301,589.6301,12905
2021-09-03 12:55:00,589.6596,590.1,589.5201,590.1,6619
2021-09-03 13:00:00,590.1019,590.25,589.53,589.85,17684
2021-09-03 13:05:00,589.71,590.94,589.62,590.82,19165
2021-09-03 13:10:00,590.755,591.05,590.7,590.8508,10858
2021-09-03 13:15:00,590.955,591.005,590.75,590.91,10745
2021-09-03 13:20:00,590.99,591.15,590.75,591.0,14957
2021-09-03 13:25:00,591.04,591.07,590.5,590.615,12251
2021-09-03 13:30:00,590.6974,590.71,589.68,589.7657,22962
2021-09-03 13:35:00,589.66,590.11,589.45,590.03,13414
2021-09-03 13:40:00,589.96,589.96,589.2901,589.565,8027
2021-09-03 13:45:00,589.62,589.79,589.33,589.64,15104
2021-09-03 13:50:00,589.79,590.22,589.51,590.22,5924
2021-09-03 13:55:00,590.1,590.2,589.9,589.99,6506
2021-09-03 14:00:00,589.75,590.54,589.5516,590.53,10410
2021-09-03 14:05:00,590.6,590.7413,589.8301,589.9352,10567
